日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/08/12,3326,東証JQS,(株)ランシステム,718,+16.18%,+100,718
2021/08/12,6195,マザーズ,(株)ホープ,746,+15.48%,+100,746
2021/08/12,6254,東証1部,野村マイクロ・サイエンス(株),"4,935",+16.53%,+700,"4,935"
2021/08/12,6574,マザーズ,(株)コンヴァノ,799,+14.31%,+100,799
2021/08/12,7089,マザーズ,フォースタートアップス(株),"3,790",+22.65%,+700,"3,790"
2021/08/12,7376,マザーズ,ＢＣＣ(株),"2,690",+22.83%,+500,"2,690"
2021/08/12,8256,東証JQS,(株)プロルート丸光,524,+18.02%,+80,524
2021/08/12,9127,東証2部,玉井商船(株),"1,529",+24.41%,+300,"1,529"
2021/08/12,9274,東証1部,国際紙パルプ商事(株),346,+30.08%,+80,346
2021/08/12,9362,東証2部,兵機海運(株),"1,545",+21.65%,+275,"1,570"
